full_ticket,extra_pair,sum_all_5,high_freq_score,pair_seen_together,has_consecutive
04-13-31-54-55 MB:04,54-55,157,38,2,yes
04-13-31-32-55 MB:04,32-55,135,37,2,yes
04-13-31-50-55 MB:04,50-55,153,36,2,no
04-13-31-42-55 MB:04,42-55,145,35,3,no
04-13-31-48-55 MB:04,48-55,151,35,2,no
04-13-31-45-55 MB:04,45-55,148,34,1,no
04-13-31-32-54 MB:04,32-54,134,33,4,yes
04-13-31-35-55 MB:04,35-55,138,33,2,no
04-13-31-46-55 MB:04,46-55,149,33,2,no
04-13-31-51-55 MB:04,51-55,154,33,2,no
04-13-31-37-55 MB:04,37-55,140,33,1,no
04-13-31-47-55 MB:04,47-55,150,33,1,no
04-13-31-55-56 MB:04,55-56,159,33,1,yes
04-13-31-55-57 MB:04,55-57,160,33,1,no
04-13-31-43-55 MB:04,43-55,146,33,0,no
04-13-31-38-55 MB:04,38-55,141,32,3,no
04-13-31-53-55 MB:04,53-55,156,32,1,no
04-13-31-50-54 MB:04,50-54,152,32,0,no
04-13-31-41-55 MB:04,41-55,144,31,2,no
04-13-31-33-55 MB:04,33-55,136,31,1,no
04-13-31-39-55 MB:04,39-55,142,31,1,no
04-13-31-40-55 MB:04,40-55,143,31,1,no
04-13-31-44-55 MB:04,44-55,147,31,1,no
04-13-31-48-54 MB:04,48-54,150,31,1,no
04-13-31-55-58 MB:04,55-58,161,31,1,no
04-13-31-32-50 MB:04,32-50,130,31,0,yes
04-13-31-42-54 MB:04,42-54,144,31,0,no
04-13-31-45-54 MB:04,45-54,147,30,2,no
04-13-31-32-42 MB:04,32-42,122,30,1,yes
04-13-31-32-48 MB:04,32-48,128,30,0,yes
04-13-31-34-55 MB:04,34-55,137,30,0,no
04-13-31-36-55 MB:04,36-55,139,30,0,no
04-13-31-49-55 MB:04,49-55,152,30,0,no
04-13-31-48-50 MB:04,48-50,146,29,3,no
04-13-31-32-45 MB:04,32-45,125,29,2,yes
04-13-31-42-50 MB:04,42-50,140,29,2,no
04-13-31-51-54 MB:04,51-54,153,29,2,no
04-13-31-54-56 MB:04,54-56,158,29,2,no
04-13-31-37-54 MB:04,37-54,139,29,1,no
04-13-31-43-54 MB:04,43-54,145,29,1,no
04-13-31-54-57 MB:04,54-57,159,29,1,no
04-13-31-35-54 MB:04,35-54,137,29,0,no
04-13-31-46-54 MB:04,46-54,148,29,0,no
04-13-31-47-54 MB:04,47-54,149,29,0,no
04-13-31-32-51 MB:04,32-51,131,28,5,yes
04-13-31-32-56 MB:04,32-56,136,28,2,yes
04-13-31-32-37 MB:04,32-37,117,28,1,yes
04-13-31-32-43 MB:04,32-43,123,28,1,yes
04-13-31-32-57 MB:04,32-57,137,28,1,yes
04-13-31-38-54 MB:04,38-54,140,28,1,no
04-13-31-42-48 MB:04,42-48,138,28,1,no
04-13-31-53-54 MB:04,53-54,155,28,1,yes
04-13-31-32-35 MB:04,32-35,115,28,0,yes
04-13-31-32-46 MB:04,32-46,126,28,0,yes
04-13-31-32-47 MB:04,32-47,127,28,0,yes
04-13-31-45-50 MB:04,45-50,143,28,0,no
04-13-31-54-58 MB:04,54-58,160,27,6,no
04-13-31-32-53 MB:04,32-53,133,27,3,yes
04-13-31-43-50 MB:04,43-50,141,27,3,no
04-13-31-50-57 MB:04,50-57,155,27,3,no
04-13-31-46-50 MB:04,46-50,144,27,2,no
04-13-31-32-38 MB:04,32-38,118,27,1,yes
04-13-31-33-54 MB:04,33-54,135,27,1,no
04-13-31-35-50 MB:04,35-50,133,27,1,no
04-13-31-41-54 MB:04,41-54,143,27,1,no
04-13-31-42-45 MB:04,42-45,135,27,1,no
04-13-31-44-54 MB:04,44-54,146,27,1,no
04-13-31-45-48 MB:04,45-48,141,27,1,no
04-13-31-37-50 MB:04,37-50,135,27,0,no
04-13-31-39-54 MB:04,39-54,141,27,0,no
04-13-31-40-54 MB:04,40-54,142,27,0,no
04-13-31-47-50 MB:04,47-50,145,27,0,no
04-13-31-50-51 MB:04,50-51,149,27,0,yes
04-13-31-50-56 MB:04,50-56,154,27,0,no
04-13-31-42-47 MB:04,42-47,137,26,3,no
04-13-31-43-48 MB:04,43-48,139,26,3,no
04-13-31-32-58 MB:04,32-58,138,26,2,yes
04-13-31-36-54 MB:04,36-54,138,26,2,no
04-13-31-42-46 MB:04,42-46,136,26,2,no
04-13-31-46-48 MB:04,46-48,142,26,2,no
04-13-31-32-40 MB:04,32-40,120,26,1,yes
04-13-31-32-41 MB:04,32-41,121,26,1,yes
04-13-31-32-44 MB:04,32-44,124,26,1,yes
04-13-31-35-42 MB:04,35-42,125,26,1,no
04-13-31-35-48 MB:04,35-48,131,26,1,no
04-13-31-42-56 MB:04,42-56,146,26,1,no
04-13-31-42-57 MB:04,42-57,147,26,1,no
04-13-31-47-48 MB:04,47-48,143,26,1,yes
04-13-31-48-56 MB:04,48-56,152,26,1,no
04-13-31-49-54 MB:04,49-54,151,26,1,no
04-13-31-52-55 MB:04,52-55,155,26,1,no
04-13-31-32-33 MB:04,32-33,113,26,0,yes
04-13-31-32-39 MB:04,32-39,119,26,0,yes
04-13-31-34-54 MB:04,34-54,136,26,0,no
04-13-31-37-42 MB:04,37-42,127,26,0,no
04-13-31-37-48 MB:04,37-48,133,26,0,no
04-13-31-38-50 MB:04,38-50,136,26,0,no
04-13-31-42-43 MB:04,42-43,133,26,0,yes
04-13-31-42-51 MB:04,42-51,141,26,0,no
04-13-31-48-51 MB:04,48-51,147,26,0,no
04-13-31-48-57 MB:04,48-57,153,26,0,no
04-13-31-50-53 MB:04,50-53,151,26,0,no
