full_ticket,extra_pair,sum_all_5,high_freq_score,pair_seen_together,has_consecutive
04-13-17-31-55 MB:04,17-55,120,40,4,no
01-04-13-31-55 MB:04,01-55,104,40,2,no
04-13-21-31-55 MB:04,21-55,124,38,2,no
03-04-13-31-55 MB:04,03-55,106,38,1,yes
04-13-18-31-55 MB:04,18-55,121,36,4,no
04-13-19-31-55 MB:04,19-55,122,36,4,no
01-04-13-31-54 MB:04,01-54,103,36,3,no
04-13-15-31-55 MB:04,15-55,118,36,2,no
04-13-30-31-55 MB:04,30-55,133,36,2,yes
04-13-17-31-54 MB:04,17-54,119,36,1,no
04-13-20-31-55 MB:04,20-55,123,35,2,no
01-04-13-31-32 MB:04,01-32,81,35,1,yes
04-13-17-31-32 MB:04,17-32,97,35,1,yes
02-04-13-31-55 MB:04,02-55,105,35,0,no
01-04-13-31-50 MB:04,01-50,99,34,2,no
04-13-17-31-50 MB:04,17-50,115,34,2,no
04-13-25-31-55 MB:04,25-55,128,34,2,no
04-06-13-31-55 MB:04,06-55,109,34,1,no
04-08-13-31-55 MB:04,08-55,111,34,1,no
04-13-21-31-54 MB:04,21-54,123,34,1,no
03-04-13-31-54 MB:04,03-54,105,34,0,yes
04-13-29-31-55 MB:04,29-55,132,34,0,no
04-13-14-31-55 MB:04,14-55,117,33,2,yes
04-13-17-31-42 MB:04,17-42,107,33,2,no
01-04-13-31-48 MB:04,01-48,97,33,1,no
04-13-17-31-48 MB:04,17-48,113,33,1,no
01-04-13-31-42 MB:04,01-42,91,33,0,no
03-04-13-31-32 MB:04,03-32,83,33,0,yes
04-13-21-31-32 MB:04,21-32,101,33,0,yes
04-07-13-31-55 MB:04,07-55,110,32,3,no
01-04-13-31-45 MB:04,01-45,94,32,2,no
03-04-13-31-50 MB:04,03-50,101,32,2,yes
04-13-15-31-54 MB:04,15-54,117,32,2,no
04-13-17-31-45 MB:04,17-45,110,32,2,no
04-13-19-31-54 MB:04,19-54,121,32,2,no
04-13-21-31-50 MB:04,21-50,119,32,2,no
04-13-18-31-54 MB:04,18-54,120,32,1,no
04-13-26-31-55 MB:04,26-55,129,32,1,no
04-13-30-31-54 MB:04,30-54,132,32,1,yes
04-13-16-31-55 MB:04,16-55,119,32,0,no
01-04-13-31-46 MB:04,01-46,95,31,4,no
01-04-13-31-47 MB:04,01-47,96,31,4,no
01-04-13-31-35 MB:04,01-35,84,31,3,no
02-04-13-31-54 MB:04,02-54,104,31,3,no
03-04-13-31-48 MB:04,03-48,99,31,3,yes
04-13-17-31-43 MB:04,17-43,108,31,3,no
04-13-17-31-57 MB:04,17-57,122,31,3,no
04-13-18-31-32 MB:04,18-32,98,31,3,yes
04-13-20-31-54 MB:04,20-54,122,31,3,no
04-13-21-31-42 MB:04,21-42,111,31,3,no
01-04-13-31-57 MB:04,01-57,106,31,2,no
04-13-15-31-32 MB:04,15-32,95,31,2,yes
04-13-17-31-47 MB:04,17-47,112,31,2,no
04-13-17-31-56 MB:04,17-56,121,31,2,no
04-13-21-31-48 MB:04,21-48,117,31,2,no
04-13-24-31-55 MB:04,24-55,127,31,2,no
04-13-28-31-55 MB:04,28-55,131,31,2,no
01-04-13-31-37 MB:04,01-37,86,31,1,no
03-04-13-31-42 MB:04,03-42,93,31,1,yes
04-13-17-31-37 MB:04,17-37,102,31,1,no
04-13-30-31-32 MB:04,30-32,110,31,1,yes
01-04-13-31-43 MB:04,01-43,92,31,0,no
01-04-13-31-51 MB:04,01-51,100,31,0,no
01-04-13-31-56 MB:04,01-56,105,31,0,no
04-13-17-31-35 MB:04,17-35,100,31,0,no
04-13-17-31-46 MB:04,17-46,111,31,0,no
04-13-17-31-51 MB:04,17-51,116,31,0,no
04-13-19-31-32 MB:04,19-32,99,31,0,yes
02-04-13-31-32 MB:04,02-32,82,30,3,yes
03-04-13-31-45 MB:04,03-45,96,30,3,yes
04-13-17-31-53 MB:04,17-53,118,30,3,no
04-11-13-31-55 MB:04,11-55,114,30,2,no
01-04-13-31-38 MB:04,01-38,87,30,1,no
01-04-13-31-53 MB:04,01-53,102,30,1,no
04-06-13-31-54 MB:04,06-54,108,30,1,no
04-08-13-31-54 MB:04,08-54,110,30,1,no
04-09-13-31-55 MB:04,09-55,112,30,1,no
04-12-13-31-55 MB:04,12-55,115,30,1,yes
04-13-15-31-50 MB:04,15-50,113,30,1,no
04-13-17-31-38 MB:04,17-38,103,30,1,no
04-13-18-31-50 MB:04,18-50,116,30,1,no
04-13-20-31-32 MB:04,20-32,100,30,1,yes
04-13-21-31-45 MB:04,21-45,114,30,1,no
04-13-25-31-54 MB:04,25-54,127,30,1,no
04-10-13-31-55 MB:04,10-55,113,30,0,no
04-13-19-31-50 MB:04,19-50,117,30,0,no
04-13-29-31-54 MB:04,29-54,131,30,0,no
04-13-30-31-50 MB:04,30-50,128,30,0,yes
01-04-13-31-40 MB:04,01-40,89,29,3,no
04-13-18-31-48 MB:04,18-48,114,29,3,no
01-04-13-31-39 MB:04,01-39,88,29,2,no
01-04-13-31-58 MB:04,01-58,107,29,2,no
03-04-13-31-35 MB:04,03-35,86,29,2,yes
03-04-13-31-46 MB:04,03-46,97,29,2,yes
03-04-13-31-56 MB:04,03-56,107,29,2,yes
03-04-13-31-57 MB:04,03-57,108,29,2,yes
04-08-13-31-32 MB:04,08-32,88,29,2,yes
04-13-17-31-33 MB:04,17-33,98,29,2,no
04-13-17-31-39 MB:04,17-39,104,29,2,no
04-13-17-31-40 MB:04,17-40,105,29,2,no
04-13-19-31-42 MB:04,19-42,109,29,2,no
04-13-19-31-48 MB:04,19-48,115,29,2,no
04-13-21-31-35 MB:04,21-35,104,29,2,no
04-13-21-31-43 MB:04,21-43,112,29,2,no
04-13-21-31-46 MB:04,21-46,115,29,2,no
04-13-23-31-55 MB:04,23-55,126,29,2,no
01-04-13-31-33 MB:04,01-33,82,29,1,no
01-04-13-31-44 MB:04,01-44,93,29,1,no
02-04-13-31-50 MB:04,02-50,100,29,1,no
03-04-13-31-37 MB:04,03-37,88,29,1,yes
03-04-13-31-43 MB:04,03-43,94,29,1,yes
03-04-13-31-47 MB:04,03-47,98,29,1,yes
04-05-13-31-55 MB:04,05-55,108,29,1,yes
04-06-13-31-32 MB:04,06-32,86,29,1,yes
04-13-14-31-54 MB:04,14-54,116,29,1,yes
04-13-17-31-44 MB:04,17-44,109,29,1,no
04-13-17-31-58 MB:04,17-58,123,29,1,no
04-13-20-31-50 MB:04,20-50,118,29,1,no
04-13-21-31-37 MB:04,21-37,106,29,1,no
04-13-21-31-47 MB:04,21-47,116,29,1,no
04-13-21-31-51 MB:04,21-51,120,29,1,no
04-13-21-31-57 MB:04,21-57,126,29,1,no
04-13-22-31-55 MB:04,22-55,125,29,1,no
04-13-25-31-32 MB:04,25-32,105,29,1,yes
04-13-29-31-32 MB:04,29-32,109,29,1,yes
04-13-30-31-48 MB:04,30-48,126,29,1,yes
01-04-13-31-41 MB:04,01-41,90,29,0,no
03-04-13-31-51 MB:04,03-51,102,29,0,yes
04-13-15-31-42 MB:04,15-42,105,29,0,no
04-13-15-31-48 MB:04,15-48,111,29,0,no
04-13-17-31-41 MB:04,17-41,106,29,0,no
04-13-18-31-42 MB:04,18-42,108,29,0,no
04-13-21-31-56 MB:04,21-56,125,29,0,no
04-13-30-31-42 MB:04,30-42,120,29,0,yes
04-13-17-31-34 MB:04,17-34,99,28,3,no
04-13-29-31-50 MB:04,29-50,127,28,3,no
04-13-25-31-50 MB:04,25-50,123,28,2,no
01-04-13-31-34 MB:04,01-34,83,28,1,no
03-04-13-31-38 MB:04,03-38,89,28,1,yes
04-06-13-31-50 MB:04,06-50,104,28,1,no
04-13-14-31-32 MB:04,14-32,94,28,1,yes
04-13-15-31-45 MB:04,15-45,108,28,1,no
04-13-17-31-36 MB:04,17-36,101,28,1,no
04-13-17-31-49 MB:04,17-49,114,28,1,no
04-13-20-31-42 MB:04,20-42,110,28,1,no
04-13-20-31-48 MB:04,20-48,116,28,1,no
04-13-21-31-38 MB:04,21-38,107,28,1,no
04-13-21-31-53 MB:04,21-53,122,28,1,no
04-13-26-31-54 MB:04,26-54,128,28,1,no
04-13-30-31-45 MB:04,30-45,123,28,1,yes
01-04-13-31-36 MB:04,01-36,85,28,0,no
01-04-13-31-49 MB:04,01-49,98,28,0,no
02-04-13-31-42 MB:04,02-42,92,28,0,no
02-04-13-31-48 MB:04,02-48,98,28,0,no
03-04-13-31-53 MB:04,03-53,104,28,0,yes
04-07-13-31-54 MB:04,07-54,109,28,0,no
04-08-13-31-50 MB:04,08-50,106,28,0,no
04-13-16-31-54 MB:04,16-54,118,28,0,no
04-13-18-31-45 MB:04,18-45,111,28,0,no
04-13-19-31-45 MB:04,19-45,112,28,0,no
04-13-27-31-55 MB:04,27-55,130,28,0,no
04-13-15-31-51 MB:04,15-51,114,27,3,no
04-13-18-31-43 MB:04,18-43,109,27,3,no
04-13-19-31-37 MB:04,19-37,104,27,3,no
